Pavarde             Vardas              Galutinis (Vid.)    
Pavarde9898         Vardas9898          5.91                
Pavarde990          Vardas990           8.17                
Pavarde9900         Vardas9900          7.17                
Pavarde9905         Vardas9905          7.18                
Pavarde9908         Vardas9908          5.53                
Pavarde991          Vardas991           5.20                
Pavarde9910         Vardas9910          8.17                
Pavarde9912         Vardas9912          5.18                
Pavarde9913         Vardas9913          5.67                
Pavarde9914         Vardas9914          5.08                
Pavarde9915         Vardas9915          7.55                
Pavarde9916         Vardas9916          8.20                
Pavarde9917         Vardas9917          6.48                
Pavarde9918         Vardas9918          7.59                
Pavarde9919         Vardas9919          5.16                
Pavarde992          Vardas992           7.77                
Pavarde9920         Vardas9920          7.56                
Pavarde9921         Vardas9921          6.06                
Pavarde9922         Vardas9922          5.23                
Pavarde9923         Vardas9923          5.23                
